Grace Chelemen,Michigan
,
Lexie Blair,Michigan
,
Abby Skvarce,Michigan
,
Madison Uden,Michigan
,
Alex Storako,Michigan
,
Meghan Beaubien,Michigan
,
Natalie Peters,Michigan
,
Taylor Bump,Michigan
,
Lou Allan,Michigan
,
Alex Sobczak,Michigan
,
Katie Alexander,Michigan
,
Sarah Schaefer,Michigan
,
Hannah Carson,Michigan
,
Natalia Rodriguez,Michigan
,
Thais Gonzalez,Michigan
,
Gianna Carosone,Michigan
,
Morgan Overaitis,Michigan
,
Faith Canfield,Michigan
,
Haley Hoogenraad,Michigan
,
Mackenzie Nemitz,Michigan
,
Regan Kerr,Maryland
,
Amelia Jarecke,Maryland
,
Bailey Boyd,Maryland
,
Gracie Voulgaris,Maryland
,
JoJo McRae,Maryland
,
Sami Main,Maryland
,
Anna Kufta,Maryland
,
Shelby Younkin,Maryland
,
Micaela Abbatine,Maryland
,
Sydney Golden,Maryland
,
Sammie Stefan,Maryland
,
Amanda Brashear,Maryland
,
Taylor Okada,Maryland
,
Taylor Wilson,Maryland
,
Victoria Galvan,Maryland
,
Katie Dustin,Maryland
,
Kiana Carr,Maryland
,
Caitlyn Koenig,Maryland
,
Camryn Woodall,Indiana
,
Josie Wood,Indiana
,
Annika Baez,Indiana
,
Karly Combs,Indiana
,
Jessica Conenna,Indiana
,
Makayla Ferrari,Indiana
,
Hope Grange,Indiana
,
Sarah Galovich,Indiana
,
Taylor Askland,Indiana
,
Paige Chitwood,Indiana
,
Carolyn Kuhn,Indiana
,
Brittany Ford,Indiana
,
Juvia Davis,Indiana
,
Katie Lacefield,Indiana
,
Gabbi Jenkins,Indiana
,
Taylor Lambert,Indiana
,
Grayson Radcliffe,Indiana
,
Maddie Westmoreland,Indiana
,
Emily  Goodin,Indiana
,
Tara Trainer,Indiana
,
Bella Norton,Indiana
,
Natalie Foor,Indiana
,
Tete Hart,Indiana
,
Courtney  Callahan,Michigan State
,
Ebonee Echols,Michigan State
,
Katie Quinlan,Michigan State
,
Laney Joyner,Michigan State
,
Charla  Echols,Michigan State
,
Jordan Watson,Michigan State
,
Kaitlyn Eveland,Michigan State
,
Joanna Bartz,Michigan State
,
Caitie Ladd,Michigan State
,
Kelly Zackrison,Michigan State
,
Abby Joseph,Michigan State
,
Lexi White,Michigan State
,
Leah Shipp,Michigan State
,
Shae Schreckengost,Michigan State
,
Alli Walker,Michigan State
,
Melanie Baccay,Michigan State
,
Mackenzie  Meech,Michigan State
,
McKenna Gregory,Michigan State
,
Riley Paxson,Michigan State
,
Katelyn Hendershott,Michigan State
,
Bailey Parshall,Penn State
,
Amanda Grieco,Penn State
,
Christa Wagner,Penn State
,
Hannah Shields,Penn State
,
Kennedy Legg,Penn State
,
Madison Shaffer,Penn State
,
Lilia Crouthamel,Penn State
,
Dani Fey,Penn State
,
Tori Dubois,Penn State
,
Emily Hudgins,Penn State
,
Kylee Lingenfelter,Penn State
,
Paige Johnson,Penn State
,
Melina Livingston,Penn State
,
Madey Smith,Penn State
,
Anna Deshaies,Penn State
,
Haley Vallejos,Penn State
,
Claire Swedberg,Penn State
,
Jade Williams,Penn State
,
Chelsea Bisi,Penn State
,
Delaney Elling,Penn State
,
Ally Kurland,Penn State
,
Destiny Weber,Penn State
,
Toni Polk,Penn State
,
Meghan Williams,Penn State
,
Aleah Marra,Rutgers
,
Nicolette Anico,Rutgers
,
Hailey Hoklotubbe,Rutgers
,
Jess Hughes,Rutgers
,
Penelope Russ,Rutgers
,
Cambria Keefer,Rutgers
,
Corah Price,Rutgers
,
Whitney Jones,Rutgers
,
Adriana Burcar,Rutgers
,
Christine Malito,Rutgers
,
Madyson Cole,Rutgers
,
Katie Wingert,Rutgers
,
Anyssa Iliopoulos,Rutgers
,
Erin Collins,Rutgers
,
Allie Yoffee,Rutgers
,
Taylor  Manno,Rutgers
,
Nicole Bowman,Rutgers
,
Myah Moy,Rutgers
,
MaKenna Partain,Minnesota
,
Carlie Brandt,Minnesota
,
Emma Burns,Minnesota
,
Rachel Lowary,Minnesota
,
Macy Gill,Minnesota
,
Hope Brandner,Minnesota
,
Katelyn Kemmetmueller,Minnesota
,
Anne Miller,Minnesota
,
Sydney Smith,Minnesota
,
Amber Fiser,Minnesota
,
Allie Arneson,Minnesota
,
Ellee Jensen,Minnesota
,
Maddie Houlihan,Minnesota
,
Kaylen Krueger,Minnesota
,
Taylor Chell,Minnesota
,
Natalie  DenHartog,Minnesota
,
Emily Hansen,Minnesota
,
Josey White,Minnesota
,
Ali Lindner,Minnesota
,
Hannah Bailey,Minnesota
,
Lexey Kneib,Nebraska
,
Rylie Unzicker,Nebraska
,
Payton Huscroft,Nebraska
,
Madi Unzicker,Nebraska
,
Peyton Glatter,Nebraska
,
Carson Fischer,Nebraska
,
Mikaela Forcum,Nebraska
,
Regan Mergele,Nebraska
,
Sarah Yocom,Nebraska
,
Courtney Wallace,Nebraska
,
Tristen Edwards,Nebraska
,
Lindsey Walljasper,Nebraska
,
Ally Riley,Nebraska
,
Karlee Seevers,Nebraska
,
Alyvia Simmons,Nebraska
,
Anni Raley,Nebraska
,
Olivia Ferrell,Nebraska
,
Bri Cassidy,Nebraska
,
Bree Boruff,Nebraska
,
Samantha Owen,Nebraska
,
Emily Bosch,Northwestern
